age	Q5_lieu	Q6_niveau	Q_renonce
72	Pistes et Bords de pistes	Confirmée	Mauvaise météo
43	Pistes	Confirmée	Mauvaise météo
45	Pistes	Débrouillée	Mauvaise météo
61	Pistes	Confirmée	Mauvaise météo
19	Pistes et Bords de pistes	Confirmée	Mauvaise météo
16	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
20	Pistes	Confirmée	Mauvaise météo
43	Pistes	Confirmée	Mauvaise météo
53	Pistes	Débrouillée	Mauvaise météo
34	Pistes	Confirmée	Mauvaise matériel
46	Pistes	Débrouillée	Mauvaise neige
44	Pistes	Confirmée	Ne renonce jamais
17	Pistes	Débrouillée	Mauvaise matériel
18	Pistes et Bords de pistes	Débutante	Mauvaise matériel
40	Pistes	Confirmée	Ne renonce jamais
17	Pistes	Confirmée	Trop de monde
57	Pistes	Confirmée	Mauvaise météo
32	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
17	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
23	Pistes et Bords de pistes	Débrouillée	Ne renonce jamais
40	Pistes	Confirmée	Mauvaise météo
41	Pistes	Confirmée	Mauvaise météo
16	Pistes	Débrouillée	Ne renonce jamais
46	Pistes	Confirmée	Mauvaise météo
44	Pistes	Confirmée	Mauvaise météo
33	Pistes	Confirmée	Ne renonce jamais
24	Pistes et Bords de pistes	Débrouillée	Mauvaise météo
37	Pistes	Confirmée	Mauvaise neige
35	Pistes	Débutante	Trop de monde
42	Pistes	Débrouillée	Mauvaise météo
49	Pistes	Débrouillée	Mauvaise météo
14	Pistes	Confirmée	Mauvaise météo
40	Pistes et Bords de pistes	Experte	Mauvaise météo
21	Pistes et Bords de pistes	Confirmée	Mauvaise météo
53	Pistes	Confirmée	Mauvaise météo
33	Pistes	Débutante	Mauvaise météo
30	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
48	Pistes	Débutante	Mauvaise météo
17	Pistes et Bords de pistes	Confirmée	Mauvaise météo
18	Pistes	Débrouillée	Mauvaise matériel
58	Pistes et Bords de pistes	Confirmée	Mauvaise météo
20	Pistes et Bords de pistes	Confirmée	Mauvaise météo
51	Pistes	Confirmée	Mauvaise météo
21	Pistes	Débrouillée	Mauvaise météo
68	Pistes	Confirmée	Mauvaise météo
38	Pistes	Confirmée	Mauvaise neige
45	Pistes et Bords de pistes	Confirmée	Mauvaise météo
20	Pistes	Confirmée	Mauvaise neige
41	Pistes	Confirmée	Trop de monde
38	Pistes	Débrouillée	Mauvaise météo
48	Pistes et Bords de pistes	Confirmée	Ne renonce jamais
33	Pistes	Débrouillée	Mauvaise météo
60	Pistes	Débrouillée	Mauvaise météo
45	Pistes	Débrouillée	Ne renonce jamais
24	Pistes	Débrouillée	Ne renonce jamais
38	Pistes	Débrouillée	Mauvaise météo
47	Pistes	Débrouillée	Mauvaise neige
18	Pistes	Débrouillée	Ne renonce jamais
40	Pistes	Débrouillée	Ne renonce jamais
43	Pistes	Débrouillée	Mauvaise météo
61	Pistes	Débrouillée	Trop de monde
36	Pistes	Experte	Mauvaise météo
25	Pistes	Débrouillée	Mauvaise météo
38	Pistes	Experte	Mauvaise météo
